sr_code,name,email,password,birthdate,gender,civil_status,scholar,working_student,activities,transportation,accommodation,characteristics,interest,subjects_enrolled,year_started,year_level,target_gwa,learning_style,attended_seminars
20-62705,David Wu,20-62705@g.batstate-u.edu.ph,",s9lqEOg",2001-12-10,Male,Single,False,False,False,Bus,With Family,"Diligent, Punctual, Alert","Food, Volunteering","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Intuitive, Kinaesthetic / Hands-on",1
19-66848,Christina Riggs,19-66848@g.batstate-u.edu.ph,MnNgK=t-R3,1999-12-26,Female,Single,False,False,False,Bus,Dormitory,"Consitent, Analytical, Responsible, Careful, Cooperative","Music, Travel, Volunteering, Art","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.25,"Kinaesthetic / Hands-on, Logical / Patterns, Read/Write, Auditory",3
19-69252,Billie Young,19-69252@g.batstate-u.edu.ph,Vn%ll*6A8,2001-05-17,Female,Single,False,False,False,Private Car / Taxi,With Family,"Diligent, Witty, Ambitious, Alert, Adventurous, Self-Disciplined","Music, Dancing, Photography, Art","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Intuitive, Auditory, Read/Write, Social",7
20-81520,Vincent Clayton,20-81520@g.batstate-u.edu.ph,6<px>CkH%=,2000-09-20,Male,Single,True,True,False,Bus,With Family,"Witty, Analytical, Creative, Obedient, Punctual","Games, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Read/Write, Visual, Social, Intuitive, Kinaesthetic / Hands-on, Logical / Patterns",0
19-30122,Frank Wesley,19-30122@g.batstate-u.edu.ph,hRb5p#sj,2000-03-30,Male,Single,False,False,True,Bus,With Family,"Creative, Alert, Punctual, Ambitious, Careful, Consitent","Art, Dancing, Sports, Music","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.25,"Social, Auditory, Visual, Read/Write",9
20-43087,Miguel Wilcox,20-43087@g.batstate-u.edu.ph,"7,eQz&bb7",2000-12-10,Male,Single,True,True,True,Bus,Dormitory,"Responsible, Ambitious, Creative, Consitent, Confident","Games, Dancing, Travel","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Auditory, Visual",3
22-42293,Garret Jesse,22-42293@g.batstate-u.edu.ph,D%2bzrP9#,2004-05-24,Male,Single,False,False,True,Bus,Apartment,"Witty, Responsible, Cooperative, Honest","Food, Games","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Social, Auditory",6
22-51799,Maxine Helms,22-51799@g.batstate-u.edu.ph,m03h16*J,2002-07-20,Female,Single,True,False,False,Bus,Apartment,"Careful, Obedient, Alert, Honest, Responsible, Persistent","Music, Games, Volunteering, Programming","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Auditory, Social, Read/Write, Intuitive, Logical / Patterns, Visual",5
19-31768,Yolanda Monroe,19-31768@g.batstate-u.edu.ph,dZ42T*Mq)w,1999-09-01,Female,Single,True,False,False,Bus,Dormitory,"Diligent, Ambitious, Alert, Witty","Music, Photography, Programming","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Auditory, Social, Kinaesthetic / Hands-on",9
19-82832,Mary Washington,19-82832@g.batstate-u.edu.ph,"kDd+VM,2bM",1999-04-11,Female,Single,True,False,True,Private Car / Taxi,Dormitory,"Ambitious, Persistent, Witty, Self-Disciplined","Photography, Programming","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.25,"Auditory, Kinaesthetic / Hands-on",4
21-93393,Ralph Mori,21-93393@g.batstate-u.edu.ph,1-v=owH.s,2001-09-25,Male,Single,False,True,False,Other,With Family,"Analytical, Adaptable, Careful, Creative, Persistent, Punctual","Dancing, Food, Travel","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.5,"Read/Write, Kinaesthetic / Hands-on, Intuitive",7
22-75154,Christopher Garcia,22-75154@g.batstate-u.edu.ph,Vs2v9h#u,2004-02-04,Male,Single,True,False,False,Other,Dormitory,"Confident, Careful, Cooperative, Punctual, Persistent, Adventurous","Photography, Volunteering","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Auditory, Logical / Patterns, Intuitive",4
22-46797,Jimmy Sauredo,22-46797@g.batstate-u.edu.ph,c296O9WFH=,2002-01-29,Male,Married,True,False,False,Private Car / Taxi,Dormitory,"Punctual, Self-Disciplined, Cooperative, Consitent","Food, Dancing, Programming, Volunteering","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Intuitive, Visual, Read/Write, Kinaesthetic / Hands-on, Auditory, Social",10
21-59922,Glenn Hunt,21-59922@g.batstate-u.edu.ph,L14xc>6%b,2001-05-27,Male,Single,False,False,False,Bicycle,Dormitory,"Diligent, Witty, Honest","Sports, Music, Food","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.25,"Auditory, Read/Write, Kinaesthetic / Hands-on, Logical / Patterns, Social",9
20-18488,Rosemary Dage,20-18488@g.batstate-u.edu.ph,24T&Ys*8n,2000-03-06,Female,Single,False,False,False,Private Car / Taxi,Apartment,"Adventurous, Persistent, Obedient, Analytical","Yoga, Photography, Reading Books, Travel","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Auditory, Logical / Patterns, Visual, Intuitive, Social, Read/Write",8
21-57961,Leticia Bailey,21-57961@g.batstate-u.edu.ph,)HjcaV-X2,2001-07-30,Female,Single,True,False,True,Bus,Dormitory,"Analytical, Cooperative, Careful, Confident, Diligent","Yoga, Programming, Games","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Read/Write, Intuitive, Visual, Social, Kinaesthetic / Hands-on, Logical / Patterns",6
21-39916,Jesse Houston,21-39916@g.batstate-u.edu.ph,efp&Ag5Azy,2001-01-23,Male,Single,True,False,True,Other,Apartment,"Adventurous, Persistent, Alert, Punctual, Responsible, Adaptable","Photography, Art, Sports, Dancing","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Logical / Patterns, Intuitive, Social, Kinaesthetic / Hands-on",3
22-13931,Diana Arguelles,22-13931@g.batstate-u.edu.ph,cHzn!9ILj*,2002-08-25,Female,Single,False,False,False,Bus,With Family,"Consitent, Responsible, Diligent","Art, Yoga, Food","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Intuitive, Auditory, Read/Write",5
20-93885,Veronica Dodson,20-93885@g.batstate-u.edu.ph,8O)PTUomqf,2001-07-29,Female,Single,False,True,False,Bus,Apartment,"Alert, Analytical, Honest","Music, Sports, Programming, Photography","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Intuitive, Visual, Auditory",3
19-26203,Elizbeth Cahal,19-26203@g.batstate-u.edu.ph,jH*#r0&cOS,2001-06-27,Female,Single,False,True,True,Private Car / Taxi,Dormitory,"Persistent, Analytical, Cooperative, Confident, Ambitious, Responsible","Sports, Reading Books","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Auditory, Social, Visual, Logical / Patterns, Kinaesthetic / Hands-on, Read/Write",1
21-92140,David Hesse,21-92140@g.batstate-u.edu.ph,*tQ3(d2c_,2001-02-10,Male,Single,False,True,False,Bus,Dormitory,"Creative, Punctual, Analytical","Yoga, Travel","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Logical / Patterns, Social, Visual, Intuitive",5
20-59065,Esther Barnes,20-59065@g.batstate-u.edu.ph,Nx_CUe9v,2000-01-02,Female,Single,True,True,False,Private Car / Taxi,Apartment,"Creative, Adventurous, Persistent, Self-Disciplined, Consitent, Adaptable","Games, Photography","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Visual, Intuitive",3
20-83639,Adam Krumm,20-83639@g.batstate-u.edu.ph,#B(wEXD9v,2002-04-16,Male,Single,False,False,False,Bus,Apartment,"Ambitious, Consitent, Witty","Yoga, Games, Music, Volunteering","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Social, Auditory, Visual",9
22-62195,Kevin Orozco,22-62195@g.batstate-u.edu.ph,h2I$H*)X5,2002-10-23,Male,Single,False,False,False,Bus,Apartment,"Self-Disciplined, Adaptable, Cooperative, Consitent, Confident","Music, Sports","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Social, Kinaesthetic / Hands-on, Visual, Intuitive, Read/Write, Auditory",1
19-96287,David Thompson,19-96287@g.batstate-u.edu.ph,8=*.j_0V,2001-07-19,Male,Single,True,True,True,Other,Apartment,"Witty, Adaptable, Diligent, Punctual, Confident","Travel, Games","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Read/Write, Logical / Patterns",0
22-96629,George Nimmons,22-96629@g.batstate-u.edu.ph,s1(fDN!Bq,2002-04-07,Male,Single,False,True,False,Bus,Dormitory,"Adaptable, Creative, Analytical","Dancing, Games","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.25,"Visual, Read/Write, Social, Intuitive, Kinaesthetic / Hands-on",3
22-70371,Philip Delossantos,22-70371@g.batstate-u.edu.ph,0kq2j=jTrL,2002-07-08,Male,Single,False,False,False,Bus,Apartment,"Obedient, Alert, Confident","Yoga, Games","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Kinaesthetic / Hands-on, Intuitive",2
21-43706,Anita Seymour,21-43706@g.batstate-u.edu.ph,NnA.-p1Ny4,2002-06-12,Female,Single,True,False,False,Bus,With Family,"Alert, Adaptable, Consitent, Obedient, Diligent","Travel, Sports","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Logical / Patterns, Kinaesthetic / Hands-on, Read/Write, Social, Visual, Auditory",9
21-61097,Ethel Blackburn,21-61097@g.batstate-u.edu.ph,+y#X1q8>,2003-05-09,Female,Single,False,False,False,Private Car / Taxi,Dormitory,"Careful, Consitent, Persistent, Self-Disciplined, Responsible, Diligent","Sports, Programming","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Kinaesthetic / Hands-on, Auditory, Intuitive, Logical / Patterns",5
21-97105,Edith Mcguire,21-97105@g.batstate-u.edu.ph,u!Y1^#O>,2003-01-11,Female,Single,False,True,True,Bus,With Family,"Persistent, Responsible, Cooperative, Adventurous, Self-Disciplined, Creative","Volunteering, Dancing, Art, Games","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Visual, Read/Write, Intuitive, Auditory",0
21-11593,Maria Tram,21-11593@g.batstate-u.edu.ph,&lrV2so(KM,2001-10-03,Female,Single,True,True,True,Bicycle,With Family,"Ambitious, Alert, Self-Disciplined, Consitent","Art, Food, Programming, Sports","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Social, Kinaesthetic / Hands-on, Logical / Patterns, Intuitive, Auditory",7
22-60867,Anthony Lawson,22-60867@g.batstate-u.edu.ph,"P%2Puq,l)T",2002-09-18,Male,Married,True,False,True,Private Car / Taxi,Dormitory,"Punctual, Confident, Careful, Alert","Programming, Games, Yoga, Travel","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Auditory, Social, Visual, Logical / Patterns, Intuitive",3
19-11523,Eric Beard,19-11523@g.batstate-u.edu.ph,QE$a1#w(,2001-10-03,Male,Single,True,False,False,Private Car / Taxi,Dormitory,"Adventurous, Confident, Witty","Programming, Dancing","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Auditory, Visual, Intuitive",2
19-83576,Jonathan Velez,19-83576@g.batstate-u.edu.ph,1JSXf=lTf,2000-02-06,Male,Single,False,False,False,Bus,Apartment,"Creative, Confident, Responsible, Cooperative, Careful, Analytical","Programming, Reading Books","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.25,"Auditory, Visual, Intuitive, Kinaesthetic / Hands-on, Logical / Patterns, Read/Write",4
19-53870,Leticia Abston,19-53870@g.batstate-u.edu.ph,hH)-+Z1I,2001-07-03,Female,Single,False,False,False,Bus,Apartment,"Punctual, Diligent, Honest, Confident, Obedient","Photography, Games, Travel, Food","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Auditory, Social, Visual, Kinaesthetic / Hands-on",4
20-21250,Antonia Roberts,20-21250@g.batstate-u.edu.ph,JJCqot%0,2000-05-27,Female,Single,False,False,False,Bicycle,Dormitory,"Consitent, Obedient, Punctual, Alert, Creative, Diligent","Travel, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Read/Write, Social, Visual, Auditory",10
21-24954,Ann Singleton,21-24954@g.batstate-u.edu.ph,2%S#sB^Tw8,2003-06-19,Female,Single,False,False,False,Bus,Dormitory,"Adventurous, Persistent, Self-Disciplined, Adaptable, Analytical","Music, Programming, Games, Dancing","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Visual, Intuitive, Logical / Patterns, Kinaesthetic / Hands-on, Social, Read/Write",4
20-80912,Georgia Norton,20-80912@g.batstate-u.edu.ph,wO&7Sg>C,2001-05-10,Female,Single,True,False,False,Private Car / Taxi,With Family,"Ambitious, Witty, Punctual, Consitent","Yoga, Dancing","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Intuitive, Read/Write, Auditory",9
20-48850,Francisco Love,20-48850@g.batstate-u.edu.ph,P6$GO6Osv,2002-01-14,Male,Single,False,False,False,Bus,Apartment,"Punctual, Obedient, Adaptable","Volunteering, Reading Books","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Social, Visual, Kinaesthetic / Hands-on, Logical / Patterns, Read/Write",3
22-79226,Timothy Duma,22-79226@g.batstate-u.edu.ph,q.+1wr^Nl,2003-05-10,Male,Single,False,False,False,Bus,Dormitory,"Alert, Punctual, Honest, Obedient, Consitent","Music, Art, Travel","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Read/Write, Visual, Logical / Patterns, Social",8
20-96171,Terry Lee,20-96171@g.batstate-u.edu.ph,+4G).SVh,2002-05-11,Male,Single,True,False,False,Private Car / Taxi,Dormitory,"Ambitious, Persistent, Confident, Adaptable, Cooperative, Consitent","Art, Programming, Photography, Dancing","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Auditory, Read/Write, Visual, Kinaesthetic / Hands-on, Intuitive",0
22-34327,Samuel Ross,22-34327@g.batstate-u.edu.ph,B6&!iQdMc,2002-12-19,Male,Single,True,False,False,Private Car / Taxi,With Family,"Careful, Witty, Analytical, Punctual","Food, Reading Books","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Intuitive, Visual, Social, Kinaesthetic / Hands-on, Logical / Patterns",10
21-00841,Delmy Hay,21-00841@g.batstate-u.edu.ph,%h1cAyaBoX,2001-06-30,Female,Single,False,False,False,Bus,With Family,"Ambitious, Alert, Creative","Programming, Photography, Music, Yoga","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Read/Write, Visual, Logical / Patterns, Intuitive, Auditory, Kinaesthetic / Hands-on",4
21-80928,Henry Shelby,21-80928@g.batstate-u.edu.ph,!=(Yb6si,2001-11-27,Male,Single,False,True,False,Private Car / Taxi,Dormitory,"Ambitious, Creative, Diligent, Adaptable, Responsible, Confident","Travel, Reading Books","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Intuitive, Visual, Auditory",7
20-24578,Annie Power,20-24578@g.batstate-u.edu.ph,OzFa1A7pb.,2002-04-17,Female,Single,False,False,False,Bus,Dormitory,"Self-Disciplined, Creative, Honest","Yoga, Reading Books, Programming, Photography","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.25,"Read/Write, Kinaesthetic / Hands-on, Auditory",9
20-90882,Craig Moody,20-90882@g.batstate-u.edu.ph,hg<cIi)6f,2000-07-16,Male,Single,False,False,True,Bus,Apartment,"Ambitious, Obedient, Confident, Diligent, Careful, Adventurous","Volunteering, Dancing, Reading Books","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Social, Visual",4
22-27173,Randall Schoch,22-27173@g.batstate-u.edu.ph,S!Hb#E2=,2004-09-16,Male,Single,False,True,False,Private Car / Taxi,With Family,"Adaptable, Persistent, Consitent, Careful","Games, Programming","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Visual, Logical / Patterns, Social, Read/Write, Auditory",9
19-31237,Kimberly Johnston,19-31237@g.batstate-u.edu.ph,5$PU2Cf-n^,2000-07-10,Female,Single,True,False,True,Private Car / Taxi,Dormitory,"Confident, Adaptable, Persistent, Cooperative, Punctual, Honest","Sports, Yoga","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Kinaesthetic / Hands-on, Social, Intuitive, Visual",6
20-68405,Joseph Cruz,20-68405@g.batstate-u.edu.ph,9#a%C5xVO,2000-07-16,Male,Single,True,False,False,Bus,Dormitory,"Persistent, Adaptable, Responsible, Ambitious, Creative, Consitent","Yoga, Food","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Kinaesthetic / Hands-on, Social",8
20-42172,Donna Pierce,20-42172@g.batstate-u.edu.ph,",c5TIHjR!",2000-06-14,Female,Single,False,False,False,Bicycle,With Family,"Self-Disciplined, Creative, Punctual, Analytical","Music, Programming","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Logical / Patterns, Auditory, Kinaesthetic / Hands-on",2
21-82599,Lisa Harvey,21-82599@g.batstate-u.edu.ph,erv>X1bL,2001-07-15,Female,Single,False,False,True,Private Car / Taxi,With Family,"Creative, Cooperative, Obedient, Consitent","Programming, Travel","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Kinaesthetic / Hands-on, Logical / Patterns",10
21-14412,Timothy Miller,21-14412@g.batstate-u.edu.ph,6eM*m$Sr,2001-11-05,Male,Single,True,False,False,Bus,Dormitory,"Analytical, Persistent, Punctual, Careful, Adaptable, Honest","Programming, Music, Games, Food","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Social, Visual, Auditory, Read/Write, Intuitive, Kinaesthetic / Hands-on",6
22-47105,Debra Simmonds,22-47105@g.batstate-u.edu.ph,d1PR9V.f,2002-06-16,Female,Single,True,False,False,Private Car / Taxi,Dormitory,"Confident, Cooperative, Alert","Music, Art","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Logical / Patterns, Read/Write, Social, Auditory",7
19-17220,Milton Mutch,19-17220@g.batstate-u.edu.ph,9taU>(f##3,2001-05-31,Male,Single,True,False,False,Bus,Apartment,"Analytical, Witty, Obedient, Punctual, Adaptable","Travel, Food, Games, Volunteering","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Intuitive, Visual",4
19-58964,Alexandria Vella,19-58964@g.batstate-u.edu.ph,5gH9)=!y8i,2000-10-01,Female,Single,False,False,False,Bus,Dormitory,"Obedient, Alert, Adaptable, Confident, Self-Disciplined","Reading Books, Games","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Auditory, Read/Write, Visual, Kinaesthetic / Hands-on",6
21-06269,John Barton,21-06269@g.batstate-u.edu.ph,_ahP2EW?,2001-03-22,Male,Single,True,True,False,Private Car / Taxi,With Family,"Punctual, Alert, Creative, Diligent, Adaptable","Travel, Reading Books, Volunteering, Dancing","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Read/Write, Kinaesthetic / Hands-on",6
21-66583,John Valerio,21-66583@g.batstate-u.edu.ph,%UrE8iyr.,2001-10-08,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Self-Disciplined, Analytical, Persistent, Careful","Sports, Food, Reading Books","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Social, Logical / Patterns, Visual",9
20-40890,Morgan Morgan,20-40890@g.batstate-u.edu.ph,"gHHT0n(.,j",2000-10-24,Male,Single,False,True,False,Private Car / Taxi,Dormitory,"Consitent, Witty, Creative, Careful, Obedient","Games, Food, Yoga, Programming","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Intuitive, Social",5
20-51206,William Vasquez,20-51206@g.batstate-u.edu.ph,"DTC0-8H,h+",2001-11-07,Male,Single,False,False,False,Bus,Other,"Obedient, Honest, Alert, Punctual, Confident","Volunteering, Sports, Programming","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Social, Visual, Read/Write, Kinaesthetic / Hands-on, Intuitive, Logical / Patterns",5
21-89983,Charles Sherrer,21-89983@g.batstate-u.edu.ph,<lqOU0kfK,2003-02-11,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Obedient, Ambitious, Consitent, Adventurous","Travel, Volunteering, Yoga","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Intuitive, Social",0
20-03083,Beatriz Presley,20-03083@g.batstate-u.edu.ph,"QQu95s#,!",2001-01-13,Female,Single,False,False,False,Bus,Dormitory,"Creative, Careful, Diligent, Persistent, Honest","Dancing, Volunteering, Reading Books","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Social, Read/Write, Intuitive, Auditory, Visual",0
22-98084,Maria Rawlins,22-98084@g.batstate-u.edu.ph,ds.9NyfT>,2004-02-21,Female,Single,True,False,False,Private Car / Taxi,With Family,"Adventurous, Ambitious, Adaptable, Honest, Persistent","Dancing, Photography, Yoga, Music","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Social, Intuitive, Logical / Patterns, Read/Write, Auditory",4
